total lines:32
14	-1 
3	-1 36 
2	-1 41 
2	-1 50 
2	-1 110 
2	-1 110 147 
2	-1 130 
3	-1 140 
6	-1 147 
2	-1 147 140 
6	-1 152 
2	-1 152 110 
2	-1 152 110 147 
2	-1 152 147 
2	-1 152 153 
3	-1 153 
2	-1 169 
2	-1 169 147 
4	36 
2	36 50 
2	41 
4	50 
2	50 36 
2	61 
2	89 
5	90 
3	90 110 
2	99 
3	108 
2	108 140 
2	108 140 153 
2	108 152 
2	108 152 140 
2	108 152 140 153 
2	108 152 153 
2	108 153 
11	110 
2	110 140 
5	110 147 
3	130 
2	130 152 
2	135 
2	138 
14	140 
3	140 90 
2	140 90 110 
6	140 110 
4	140 110 147 
5	140 147 
2	140 152 
6	140 153 
3	140 153 90 
2	140 153 90 110 
4	140 153 110 
3	140 153 110 147 
3	140 153 147 
3	141 
2	141 108 
2	142 
2	142 50 
16	147 
4	147 110 
2	147 110 140 
5	147 140 
5	147 152 
2	147 152 140 
2	147 152 152 
2	147 152 153 
3	147 153 
18	152 
3	152 90 
2	152 90 110 
6	152 110 
5	152 110 147 
9	152 140 
3	152 140 90 
2	152 140 90 110 
5	152 140 110 
4	152 140 110 147 
5	152 140 147 
6	152 140 153 
3	152 140 153 90 
2	152 140 153 90 110 
4	152 140 153 110 
3	152 140 153 110 147 
3	152 140 153 147 
7	152 147 
2	152 152 
9	152 153 
3	152 153 90 
2	152 153 90 110 
5	152 153 110 
4	152 153 110 147 
4	152 153 147 
11	153 
3	153 90 
2	153 90 110 
5	153 110 
4	153 110 147 
2	153 140 
4	153 147 
3	169 
2	169 147 
