total lines:183
66	-1 
20	-1 31 
5	-1 31 126 
4	-1 31 166 
20	-1 54 
10	-1 54 31 
7	-1 54 57 
7	-1 54 57 31 
4	-1 54 57 120 
4	-1 54 57 120 31 
5	-1 54 119 
5	-1 54 119 31 
6	-1 54 120 
6	-1 54 120 31 
18	-1 57 
11	-1 57 31 
4	-1 57 31 166 
5	-1 57 115 
5	-1 57 115 31 
4	-1 57 115 31 166 
4	-1 57 115 166 
5	-1 57 119 
5	-1 57 119 31 
4	-1 57 119 120 
4	-1 57 119 120 31 
10	-1 57 120 
8	-1 57 120 31 
4	-1 57 120 115 
4	-1 57 120 115 31 
4	-1 57 166 
4	-1 71 
4	-1 110 
12	-1 115 
7	-1 115 31 
4	-1 115 31 166 
4	-1 115 166 
7	-1 119 
6	-1 119 31 
4	-1 119 120 
4	-1 119 120 31 
17	-1 120 
10	-1 120 31 
6	-1 120 115 
5	-1 120 115 31 
14	-1 126 
4	-1 126 54 
5	-1 126 57 
4	-1 126 120 
10	-1 132 
4	-1 140 
4	-1 140 110 
4	-1 164 
16	-1 166 
6	-1 166 31 
5	-1 166 31 126 
4	-1 166 57 
9	-1 166 126 
4	-1 166 126 57 
5	-1 180 
46	31 
11	31 54 
6	31 57 
5	31 57 54 
6	31 115 
4	31 115 120 
12	31 120 
6	31 120 54 
16	31 126 
9	31 126 54 
4	31 126 57 
4	31 126 115 
9	31 126 120 
5	31 126 120 54 
6	31 132 
11	31 166 
7	36 
4	41 
9	50 
4	50 89 
4	51 
45	54 
15	54 31 
6	54 31 166 
18	54 57 
9	54 57 31 
5	54 57 31 166 
5	54 57 119 
4	54 57 119 31 
4	54 57 119 120 
4	54 57 119 120 166 
4	54 57 119 166 
9	54 57 120 
6	54 57 120 31 
4	54 57 120 31 166 
5	54 57 120 166 
8	54 57 166 
7	54 119 
6	54 119 31 
5	54 119 120 
4	54 119 120 31 
4	54 119 120 166 
4	54 119 166 
13	54 120 
9	54 120 31 
5	54 120 31 166 
6	54 120 166 
5	54 132 
10	54 166 
38	57 
17	57 31 
4	57 31 132 
9	57 31 166 
9	57 54 
6	57 115 
6	57 115 31 
5	57 115 31 166 
5	57 115 166 
9	57 119 
7	57 119 31 
5	57 119 31 166 
4	57 119 115 
4	57 119 115 31 
4	57 119 115 31 166 
4	57 119 115 166 
8	57 119 120 
6	57 119 120 31 
5	57 119 120 31 166 
4	57 119 120 115 
4	57 119 120 115 31 
4	57 119 120 115 31 166 
4	57 119 120 115 166 
6	57 119 120 166 
6	57 119 166 
19	57 120 
12	57 120 31 
7	57 120 31 166 
5	57 120 115 
5	57 120 115 31 
4	57 120 115 31 166 
4	57 120 115 166 
8	57 120 166 
5	57 132 
12	57 166 
4	57 166 132 
4	58 
4	59 
4	64 
6	71 
8	73 
5	84 
6	89 
11	90 
4	90 95 
5	90 110 
4	90 110 95 
4	90 110 147 
4	90 147 
25	95 
4	95 90 
8	95 110 
8	95 147 
6	95 147 110 
5	95 175 
7	95 180 
4	95 180 175 
5	98 
21	110 
4	110 90 
7	110 95 
7	110 147 
6	110 147 95 
5	110 147 180 
5	110 180 
25	115 
11	115 31 
6	115 31 166 
5	115 54 
4	115 57 
7	115 120 
6	115 166 
5	117 
17	119 
9	119 31 
5	119 31 166 
4	119 115 
4	119 115 31 
4	119 115 31 166 
4	119 115 166 
10	119 120 
7	119 120 31 
5	119 120 31 166 
4	119 120 115 
4	119 120 115 31 
4	119 120 115 31 166 
4	119 120 115 166 
6	119 120 166 
6	119 166 
44	120 
17	120 31 
4	120 31 132 
8	120 31 166 
10	120 54 
5	120 57 
5	120 57 54 
7	120 115 
6	120 115 31 
4	120 115 31 166 
4	120 115 166 
5	120 119 
4	120 132 
9	120 166 
33	126 
4	126 31 
13	126 54 
9	126 57 
6	126 57 54 
8	126 115 
5	126 115 120 
4	126 119 
15	126 120 
8	126 120 54 
4	126 120 57 
4	126 120 57 54 
7	128 
7	130 
7	131 
4	131 166 
51	132 
15	132 31 
10	132 31 54 
5	132 31 57 
5	132 31 57 54 
8	132 31 120 
6	132 31 120 54 
10	132 31 126 
8	132 31 126 54 
6	132 31 126 120 
5	132 31 126 120 54 
17	132 54 
9	132 57 
7	132 57 54 
7	132 115 
5	132 119 
13	132 120 
9	132 120 54 
4	132 120 57 
4	132 120 57 54 
4	132 120 119 
15	132 126 
10	132 126 54 
4	132 126 57 
4	132 126 57 54 
8	132 126 120 
7	132 126 120 54 
5	132 131 
21	132 166 
11	132 166 31 
8	132 166 31 54 
5	132 166 31 120 
5	132 166 31 120 54 
8	132 166 31 126 
7	132 166 31 126 54 
4	132 166 31 126 120 
4	132 166 31 126 120 54 
11	132 166 54 
4	132 166 57 
4	132 166 115 
4	132 166 119 
8	132 166 120 
7	132 166 120 54 
10	132 166 126 
8	132 166 126 54 
5	132 166 126 120 
5	132 166 126 120 54 
12	140 
6	140 95 
7	140 110 
4	140 110 95 
4	140 110 147 
7	140 147 
4	140 147 95 
4	140 180 
25	147 
10	147 95 
5	147 95 180 
9	147 110 
4	147 175 
7	147 180 
15	152 
7	152 95 
4	152 110 
6	152 140 
4	152 140 95 
5	152 140 147 
9	152 147 
6	152 147 95 
4	152 153 
4	152 153 147 
6	152 180 
10	153 
4	153 90 
4	153 90 95 
4	153 90 110 
4	153 90 110 95 
8	153 95 
4	153 95 180 
7	153 110 
5	153 110 95 
4	153 110 147 
4	153 110 147 95 
7	153 147 
6	153 147 95 
4	153 147 95 180 
4	153 147 180 
5	153 180 
6	164 
49	166 
20	166 31 
9	166 31 54 
4	166 31 57 
6	166 31 115 
4	166 31 115 120 
8	166 31 120 
5	166 31 120 54 
14	166 31 126 
8	166 31 126 54 
4	166 31 126 115 
7	166 31 126 120 
4	166 31 126 120 54 
14	166 54 
9	166 57 
4	166 57 54 
11	166 115 
4	166 115 54 
4	166 115 57 
7	166 115 120 
6	166 119 
14	166 120 
7	166 120 54 
4	166 120 119 
21	166 126 
10	166 126 54 
6	166 126 57 
7	166 126 115 
5	166 126 115 120 
4	166 126 119 
10	166 126 120 
5	166 126 120 54 
7	166 132 
5	167 
23	175 
4	175 90 
7	175 95 
4	175 95 110 
6	175 110 
4	175 110 90 
5	175 147 
9	175 180 
4	175 180 95 
4	175 180 110 
29	180 
8	180 95 
5	180 95 110 
6	180 95 147 
4	180 95 147 110 
7	180 110 
9	180 147 
5	180 147 110 
7	180 175 
