total lines:38
30	-1 
3	-1 29 
2	-1 30 
3	-1 40 
12	-1 61 
3	-1 61 29 
2	-1 61 30 
2	-1 61 40 
2	-1 61 75 
2	-1 61 75 29 
6	-1 61 96 
2	-1 61 96 140 
2	-1 61 99 
9	-1 61 118 
2	-1 61 118 40 
6	-1 61 118 96 
2	-1 61 118 96 140 
3	-1 61 118 140 
4	-1 61 118 154 
4	-1 61 118 154 96 
2	-1 61 133 
3	-1 61 140 
4	-1 61 154 
4	-1 61 154 96 
3	-1 75 
2	-1 75 29 
4	-1 90 
2	-1 90 110 
2	-1 90 140 
7	-1 96 
2	-1 96 75 
3	-1 96 140 
3	-1 99 
15	-1 110 
2	-1 110 90 
2	-1 110 90 140 
2	-1 110 110 
2	-1 110 139 
7	-1 110 140 
2	-1 110 140 110 
4	-1 110 140 172 
4	-1 110 172 
10	-1 118 
3	-1 118 40 
6	-1 118 96 
2	-1 118 96 140 
2	-1 118 133 
3	-1 118 140 
4	-1 118 154 
4	-1 118 154 96 
4	-1 133 
4	-1 139 
2	-1 139 140 
15	-1 140 
2	-1 140 90 
2	-1 140 90 110 
7	-1 140 110 
3	-1 140 153 
3	-1 140 153 110 
4	-1 140 172 
4	-1 153 
3	-1 153 110 
4	-1 154 
4	-1 154 96 
2	-1 168 
2	-1 168 140 
5	-1 172 
2	-1 172 139 
3	29 
2	30 
3	40 
13	61 
3	61 29 
2	61 30 
2	61 40 
2	61 75 
2	61 75 29 
7	61 96 
2	61 96 140 
2	61 99 
10	61 118 
2	61 118 40 
7	61 118 96 
2	61 118 96 140 
3	61 118 140 
5	61 118 154 
5	61 118 154 96 
2	61 133 
3	61 140 
5	61 154 
5	61 154 96 
3	75 
2	75 29 
2	86 
2	86 140 
5	90 
3	90 110 
2	90 140 
8	96 
2	96 75 
3	96 140 
3	99 
19	110 
2	110 90 
2	110 90 140 
2	110 110 
2	110 139 
8	110 140 
2	110 140 110 
4	110 140 172 
2	110 152 
4	110 172 
11	118 
3	118 40 
7	118 96 
2	118 96 140 
2	118 133 
3	118 140 
5	118 154 
5	118 154 96 
5	133 
5	139 
3	139 140 
20	140 
3	140 90 
3	140 90 110 
9	140 110 
3	140 153 
3	140 153 110 
4	140 172 
2	152 
5	153 
3	153 110 
5	154 
5	154 96 
3	168 
2	168 61 
2	168 61 96 
2	168 61 118 
2	168 61 118 96 
2	168 96 
2	168 118 
2	168 118 96 
2	168 140 
6	172 
2	172 139 
2	172 140 
