total lines:68
21	-1 
4	-1 97 
2	-1 97 102 
2	-1 102 
9	-1 173 
2	-1 173 97 
12	-1 174 
2	-1 174 97 
2	-1 174 97 102 
2	-1 174 102 
3	-1 174 173 
2	-1 174 177 
7	-1 177 
3	-1 177 97 
2	-1 177 97 102 
2	-1 177 102 
3	-1 177 174 
2	-1 177 174 97 
2	-1 177 174 97 102 
2	-1 177 174 102 
2	-1 177 179 
3	-1 179 
2	-1 179 174 
2	-1 179 177 
2	-1 179 177 174 
2	-1 180 
4	36 
2	36 173 
3	36 174 
2	36 174 173 
3	50 
2	50 36 
2	50 36 174 
2	50 174 
6	60 
7	85 
3	85 108 
2	85 108 174 
6	85 174 
4	89 
3	89 36 
2	89 36 173 
3	89 36 174 
2	89 36 174 173 
2	89 50 
2	89 50 36 
2	89 50 36 174 
2	89 50 174 
2	89 173 
3	89 174 
2	89 174 173 
22	97 
5	97 60 
16	97 102 
5	97 102 60 
17	102 
6	102 60 
5	108 
3	108 174 
2	110 
2	115 
2	135 
2	153 
2	165 
2	165 174 
2	167 
21	173 
3	173 60 
8	173 97 
3	173 97 60 
7	173 97 102 
3	173 97 102 60 
7	173 102 
3	173 102 60 
7	173 174 
2	173 174 60 
5	173 174 97 
2	173 174 97 60 
5	173 174 97 102 
2	173 174 97 102 60 
5	173 174 102 
2	173 174 102 60 
7	173 177 
3	173 177 60 
6	173 177 97 
3	173 177 97 60 
6	173 177 97 102 
3	173 177 97 102 60 
6	173 177 102 
3	173 177 102 60 
5	173 177 174 
2	173 177 174 60 
4	173 177 174 97 
2	173 177 174 97 60 
4	173 177 174 97 102 
2	173 177 174 97 102 60 
4	173 177 174 102 
2	173 177 174 102 60 
37	174 
4	174 60 
10	174 97 
3	174 97 60 
8	174 97 102 
3	174 97 102 60 
9	174 102 
4	174 102 60 
6	174 173 
3	174 177 
7	175 
2	175 97 
2	175 97 102 
2	175 102 
2	175 173 
2	175 174 
3	175 179 
30	177 
4	177 60 
18	177 97 
4	177 97 60 
13	177 97 102 
4	177 97 102 60 
13	177 102 
4	177 102 60 
2	177 135 
2	177 173 
12	177 174 
2	177 174 60 
7	177 174 97 
2	177 174 97 60 
5	177 174 97 102 
2	177 174 97 102 60 
5	177 174 102 
2	177 174 102 60 
2	177 179 
26	179 
5	179 60 
13	179 97 
4	179 97 60 
11	179 97 102 
4	179 97 102 60 
12	179 102 
5	179 102 60 
2	179 167 
7	179 173 
2	179 173 60 
3	179 173 97 
2	179 173 97 60 
3	179 173 97 102 
2	179 173 97 102 60 
3	179 173 102 
2	179 173 102 60 
4	179 173 174 
2	179 173 174 97 
2	179 173 174 97 102 
2	179 173 174 102 
4	179 173 177 
2	179 173 177 60 
3	179 173 177 97 
2	179 173 177 97 60 
3	179 173 177 97 102 
2	179 173 177 97 102 60 
3	179 173 177 102 
2	179 173 177 102 60 
3	179 173 177 174 
2	179 173 177 174 97 
2	179 173 177 174 97 102 
2	179 173 177 174 102 
14	179 174 
3	179 174 60 
6	179 174 97 
2	179 174 97 60 
5	179 174 97 102 
2	179 174 97 102 60 
6	179 174 102 
3	179 174 102 60 
16	179 177 
3	179 177 60 
11	179 177 97 
3	179 177 97 60 
9	179 177 97 102 
3	179 177 97 102 60 
9	179 177 102 
3	179 177 102 60 
8	179 177 174 
4	179 177 174 97 
3	179 177 174 97 102 
3	179 177 174 102 
11	179 180 
4	179 180 60 
6	179 180 97 
3	179 180 97 60 
6	179 180 97 102 
3	179 180 97 102 60 
7	179 180 102 
4	179 180 102 60 
2	179 180 167 
3	179 180 173 
2	179 180 173 60 
3	179 180 173 97 
2	179 180 173 97 60 
3	179 180 173 97 102 
2	179 180 173 97 102 60 
3	179 180 173 102 
2	179 180 173 102 60 
2	179 180 173 174 
2	179 180 173 174 97 
2	179 180 173 174 97 102 
2	179 180 173 174 102 
3	179 180 173 177 
2	179 180 173 177 60 
3	179 180 173 177 97 
2	179 180 173 177 97 60 
3	179 180 173 177 97 102 
2	179 180 173 177 97 102 60 
3	179 180 173 177 102 
2	179 180 173 177 102 60 
2	179 180 173 177 174 
2	179 180 173 177 174 97 
2	179 180 173 177 174 97 102 
2	179 180 173 177 174 102 
8	179 180 174 
3	179 180 174 60 
4	179 180 174 97 
2	179 180 174 97 60 
4	179 180 174 97 102 
2	179 180 174 97 102 60 
5	179 180 174 102 
3	179 180 174 102 60 
6	179 180 177 
2	179 180 177 60 
4	179 180 177 97 
2	179 180 177 97 60 
4	179 180 177 97 102 
2	179 180 177 97 102 60 
4	179 180 177 102 
2	179 180 177 102 60 
4	179 180 177 174 
2	179 180 177 174 97 
2	179 180 177 174 97 102 
2	179 180 177 174 102 
17	180 
5	180 60 
9	180 97 
4	180 97 60 
9	180 97 102 
4	180 97 102 60 
10	180 102 
5	180 102 60 
2	180 167 
5	180 173 
3	180 173 60 
5	180 173 97 
3	180 173 97 60 
5	180 173 97 102 
3	180 173 97 102 60 
5	180 173 102 
3	180 173 102 60 
3	180 173 174 
2	180 173 174 60 
3	180 173 174 97 
2	180 173 174 97 60 
3	180 173 174 97 102 
2	180 173 174 97 102 60 
3	180 173 174 102 
2	180 173 174 102 60 
5	180 173 177 
3	180 173 177 60 
5	180 173 177 97 
3	180 173 177 97 60 
5	180 173 177 97 102 
3	180 173 177 97 102 60 
5	180 173 177 102 
3	180 173 177 102 60 
3	180 173 177 174 
2	180 173 177 174 60 
3	180 173 177 174 97 
2	180 173 177 174 97 60 
3	180 173 177 174 97 102 
2	180 173 177 174 97 102 60 
3	180 173 177 174 102 
2	180 173 177 174 102 60 
9	180 174 
4	180 174 60 
5	180 174 97 
3	180 174 97 60 
5	180 174 97 102 
3	180 174 97 102 60 
6	180 174 102 
4	180 174 102 60 
10	180 177 
3	180 177 60 
7	180 177 97 
3	180 177 97 60 
7	180 177 97 102 
3	180 177 97 102 60 
7	180 177 102 
3	180 177 102 60 
5	180 177 174 
2	180 177 174 60 
3	180 177 174 97 
2	180 177 174 97 60 
3	180 177 174 97 102 
2	180 177 174 97 102 60 
3	180 177 174 102 
2	180 177 174 102 60 
