total lines:123
71	-1 
13	-1 36 
4	-1 36 50 
3	-1 36 89 
3	-1 41 
3	-1 43 
10	-1 50 
4	-1 50 89 
5	-1 53 
3	-1 53 36 
4	-1 58 
12	-1 67 
7	-1 67 105 
5	-1 67 105 135 
3	-1 67 122 
4	-1 67 129 
3	-1 67 129 122 
8	-1 67 135 
3	-1 67 135 122 
4	-1 67 135 129 
3	-1 67 135 129 122 
16	-1 82 
3	-1 82 122 
6	-1 88 
4	-1 88 67 
3	-1 88 145 
3	-1 88 145 67 
8	-1 89 
4	-1 89 36 
7	-1 104 
3	-1 104 129 
3	-1 104 135 
7	-1 105 
5	-1 105 135 
5	-1 107 
5	-1 107 67 
3	-1 107 67 105 
3	-1 107 67 135 
3	-1 107 105 
3	-1 107 135 
3	-1 114 
22	-1 122 
3	-1 122 58 
4	-1 122 82 
3	-1 122 104 
3	-1 122 122 
4	-1 122 131 
3	-1 122 135 
4	-1 122 167 
8	-1 129 
6	-1 129 122 
12	-1 131 
4	-1 131 82 
3	-1 131 122 
3	-1 134 
17	-1 135 
5	-1 135 122 
5	-1 135 129 
3	-1 135 129 122 
11	-1 145 
9	-1 145 67 
6	-1 145 67 105 
5	-1 145 67 105 135 
3	-1 145 67 129 
7	-1 145 67 135 
3	-1 145 67 135 129 
6	-1 145 105 
5	-1 145 105 135 
4	-1 145 107 
4	-1 145 107 67 
3	-1 145 107 67 135 
3	-1 145 107 135 
4	-1 145 122 
3	-1 145 129 
7	-1 145 135 
3	-1 145 135 129 
5	-1 166 
10	-1 167 
4	-1 167 104 
3	-1 167 135 
20	36 
4	36 50 
3	36 89 
3	36 122 
3	36 135 
3	36 167 
6	41 
4	42 
3	42 122 
5	43 
13	50 
3	50 36 
5	50 89 
6	53 
3	53 36 
7	58 
6	62 
34	67 
4	67 82 
23	67 105 
3	67 105 82 
4	67 105 122 
5	67 105 129 
4	67 105 129 122 
14	67 105 135 
3	67 105 135 82 
4	67 105 135 122 
5	67 105 135 129 
4	67 105 135 129 122 
6	67 122 
9	67 129 
6	67 129 122 
3	67 131 
19	67 135 
3	67 135 82 
6	67 135 122 
9	67 135 129 
6	67 135 129 122 
3	70 
3	74 
3	75 
24	82 
3	82 36 
8	82 122 
4	82 131 
4	82 166 
3	82 167 
4	87 
7	88 
4	88 67 
4	88 145 
3	88 145 67 
10	89 
5	89 36 
3	96 
11	104 
3	104 50 
3	104 50 89 
3	104 89 
3	104 122 
3	104 129 
5	104 135 
27	105 
3	105 82 
3	105 104 
5	105 122 
5	105 129 
4	105 129 122 
16	105 135 
3	105 135 82 
4	105 135 122 
5	105 135 129 
4	105 135 129 122 
17	107 
16	107 67 
4	107 67 82 
11	107 67 105 
3	107 67 105 82 
3	107 67 105 122 
4	107 67 105 129 
3	107 67 105 129 122 
9	107 67 105 135 
3	107 67 105 135 82 
3	107 67 105 135 122 
4	107 67 105 135 129 
3	107 67 105 135 129 122 
4	107 67 122 
7	107 67 129 
4	107 67 129 122 
3	107 67 131 
13	107 67 135 
3	107 67 135 82 
4	107 67 135 122 
7	107 67 135 129 
4	107 67 135 129 122 
4	107 82 
11	107 105 
3	107 105 82 
3	107 105 122 
4	107 105 129 
3	107 105 129 122 
9	107 105 135 
3	107 105 135 82 
3	107 105 135 122 
4	107 105 135 129 
3	107 105 135 129 122 
4	107 122 
7	107 129 
4	107 129 122 
3	107 131 
13	107 135 
3	107 135 82 
4	107 135 122 
7	107 135 129 
4	107 135 129 122 
4	114 
40	122 
3	122 42 
3	122 58 
3	122 74 
6	122 82 
3	122 104 
7	122 122 
3	122 129 
7	122 131 
4	122 135 
7	122 167 
18	129 
5	129 82 
3	129 82 122 
13	129 122 
3	130 
19	131 
7	131 82 
3	131 82 122 
5	131 122 
3	134 
33	135 
3	135 82 
3	135 89 
8	135 122 
10	135 129 
6	135 129 122 
3	135 131 
3	139 
25	145 
5	145 36 
15	145 67 
3	145 67 82 
12	145 67 105 
3	145 67 105 82 
3	145 67 105 122 
3	145 67 105 129 
3	145 67 105 129 122 
11	145 67 105 135 
3	145 67 105 135 82 
3	145 67 105 135 122 
3	145 67 105 135 129 
3	145 67 105 135 129 122 
4	145 67 122 
5	145 67 129 
4	145 67 129 122 
13	145 67 135 
3	145 67 135 82 
4	145 67 135 122 
5	145 67 135 129 
4	145 67 135 129 122 
5	145 82 
12	145 105 
3	145 105 82 
3	145 105 122 
3	145 105 129 
3	145 105 129 122 
11	145 105 135 
3	145 105 135 82 
3	145 105 135 122 
3	145 105 135 129 
3	145 105 135 129 122 
10	145 107 
10	145 107 67 
3	145 107 67 82 
8	145 107 67 105 
3	145 107 67 105 82 
7	145 107 67 105 135 
3	145 107 67 105 135 82 
3	145 107 67 122 
4	145 107 67 129 
3	145 107 67 129 122 
9	145 107 67 135 
3	145 107 67 135 82 
3	145 107 67 135 122 
4	145 107 67 135 129 
3	145 107 67 135 129 122 
3	145 107 82 
8	145 107 105 
3	145 107 105 82 
7	145 107 105 135 
3	145 107 105 135 82 
3	145 107 122 
4	145 107 129 
3	145 107 129 122 
9	145 107 135 
3	145 107 135 82 
3	145 107 135 122 
4	145 107 135 129 
3	145 107 135 129 122 
11	145 122 
7	145 129 
6	145 129 122 
3	145 131 
13	145 135 
3	145 135 82 
4	145 135 122 
5	145 135 129 
4	145 135 129 122 
3	154 
10	166 
3	166 82 
4	166 131 
3	166 131 82 
18	167 
4	167 104 
4	167 135 
4	167 166 
