total lines:65
64	-1 
3	-1 29 
2	-1 29 50 
2	-1 29 132 
4	-1 36 
2	-1 36 50 
3	-1 36 82 
4	-1 36 85 
3	-1 36 85 82 
3	-1 36 85 132 
3	-1 36 85 132 82 
3	-1 36 132 
3	-1 36 132 82 
7	-1 40 
2	-1 42 
6	-1 45 
5	-1 45 82 
4	-1 45 85 
3	-1 45 85 82 
2	-1 45 85 132 
2	-1 45 85 132 82 
4	-1 45 132 
4	-1 45 132 82 
11	-1 50 
4	-1 50 82 
5	-1 50 85 
4	-1 50 85 82 
5	-1 50 85 132 
4	-1 50 85 132 82 
5	-1 50 132 
4	-1 50 132 82 
51	-1 82 
4	-1 82 36 
2	-1 82 36 50 
3	-1 82 36 82 
4	-1 82 36 85 
3	-1 82 36 85 82 
3	-1 82 36 85 132 
3	-1 82 36 85 132 82 
3	-1 82 36 132 
3	-1 82 36 132 82 
2	-1 82 42 
6	-1 82 45 
5	-1 82 45 82 
4	-1 82 45 85 
3	-1 82 45 85 82 
2	-1 82 45 85 132 
2	-1 82 45 85 132 82 
4	-1 82 45 132 
4	-1 82 45 132 82 
8	-1 82 50 
4	-1 82 50 82 
5	-1 82 50 85 
4	-1 82 50 85 82 
5	-1 82 50 85 132 
4	-1 82 50 85 132 82 
5	-1 82 50 132 
4	-1 82 50 132 82 
28	-1 82 82 
3	-1 82 82 82 
2	-1 82 82 85 
3	-1 82 82 132 
3	-1 82 82 132 82 
36	-1 82 85 
3	-1 82 85 45 
2	-1 82 85 45 82 
2	-1 82 85 45 132 
2	-1 82 85 45 132 82 
2	-1 82 85 50 
26	-1 82 85 82 
3	-1 82 85 82 82 
2	-1 82 85 82 85 
3	-1 82 85 82 132 
3	-1 82 85 82 132 82 
2	-1 82 85 85 
30	-1 82 85 132 
25	-1 82 85 132 82 
2	-1 82 85 132 82 85 
2	-1 82 85 132 85 
39	-1 82 132 
2	-1 82 132 50 
26	-1 82 132 82 
2	-1 82 132 82 85 
6	-1 82 132 85 
2	-1 82 132 85 50 
3	-1 82 144 
2	-1 82 144 82 
2	-1 82 144 85 
2	-1 82 144 85 82 
2	-1 82 144 85 132 
2	-1 82 144 85 132 82 
2	-1 82 144 132 
2	-1 82 144 132 82 
36	-1 85 
3	-1 85 45 
2	-1 85 45 82 
2	-1 85 45 132 
2	-1 85 45 132 82 
2	-1 85 50 
26	-1 85 82 
3	-1 85 82 82 
2	-1 85 82 85 
3	-1 85 82 132 
3	-1 85 82 132 82 
2	-1 85 85 
30	-1 85 132 
25	-1 85 132 82 
2	-1 85 132 82 85 
2	-1 85 132 85 
2	-1 89 
2	-1 89 89 
2	-1 89 144 
2	-1 89 144 89 
2	-1 98 
40	-1 132 
2	-1 132 50 
26	-1 132 82 
2	-1 132 82 85 
6	-1 132 85 
2	-1 132 85 50 
2	-1 138 
3	-1 140 
4	-1 144 
2	-1 144 82 
2	-1 144 85 
2	-1 144 85 82 
2	-1 144 85 132 
2	-1 144 85 132 82 
2	-1 144 89 
2	-1 144 132 
2	-1 144 132 82 
3	29 
2	29 50 
2	29 132 
5	36 
3	36 50 
3	36 82 
4	36 85 
3	36 85 82 
3	36 85 132 
3	36 85 132 82 
3	36 132 
3	36 132 82 
7	40 
2	42 
6	45 
5	45 82 
4	45 85 
3	45 85 82 
2	45 85 132 
2	45 85 132 82 
4	45 132 
4	45 132 82 
12	50 
4	50 82 
5	50 85 
4	50 85 82 
5	50 85 132 
4	50 85 132 82 
5	50 132 
4	50 132 82 
52	82 
5	82 36 
3	82 36 50 
3	82 36 82 
4	82 36 85 
3	82 36 85 82 
3	82 36 85 132 
3	82 36 85 132 82 
3	82 36 132 
3	82 36 132 82 
2	82 42 
6	82 45 
5	82 45 82 
4	82 45 85 
3	82 45 85 82 
2	82 45 85 132 
2	82 45 85 132 82 
4	82 45 132 
4	82 45 132 82 
9	82 50 
4	82 50 82 
5	82 50 85 
4	82 50 85 82 
5	82 50 85 132 
4	82 50 85 132 82 
5	82 50 132 
4	82 50 132 82 
28	82 82 
3	82 82 82 
2	82 82 85 
3	82 82 132 
3	82 82 132 82 
36	82 85 
3	82 85 45 
2	82 85 45 82 
2	82 85 45 132 
2	82 85 45 132 82 
2	82 85 50 
26	82 85 82 
3	82 85 82 82 
2	82 85 82 85 
3	82 85 82 132 
3	82 85 82 132 82 
2	82 85 85 
30	82 85 132 
25	82 85 132 82 
2	82 85 132 82 85 
2	82 85 132 85 
39	82 132 
2	82 132 50 
26	82 132 82 
2	82 132 82 85 
6	82 132 85 
2	82 132 85 50 
3	82 144 
2	82 144 82 
2	82 144 85 
2	82 144 85 82 
2	82 144 85 132 
2	82 144 85 132 82 
2	82 144 132 
2	82 144 132 82 
36	85 
3	85 45 
2	85 45 82 
2	85 45 132 
2	85 45 132 82 
2	85 50 
26	85 82 
3	85 82 82 
2	85 82 85 
3	85 82 132 
3	85 82 132 82 
2	85 85 
30	85 132 
25	85 132 82 
2	85 132 82 85 
2	85 132 85 
2	89 
2	89 89 
2	89 144 
2	89 144 89 
2	98 
40	132 
2	132 50 
26	132 82 
2	132 82 85 
6	132 85 
2	132 85 50 
2	138 
3	140 
4	144 
2	144 82 
2	144 85 
2	144 85 82 
2	144 85 132 
2	144 85 132 82 
2	144 89 
2	144 132 
2	144 132 82 
